source,state,year,county_fips,expected_records,fetched_records,retained_records,duplicate_records,invalid_date_count,invalid_geography_count,observed_min_date,observed_max_date,request_complete,coverage_valid,failure_reasons,source_url,source_checksum,unresolvable_geography_count,unresolvable_date_count
WI_COMMUNITY_MAPS,55,2014,55045,956,956,956,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55047,608,608,608,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55049,424,424,424,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55051,70,70,70,0,0,0,2014-01-03,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55053,587,587,587,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55055,1677,1677,1677,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55057,759,759,759,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55059,3944,3944,3944,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55061,404,404,404,0,0,0,2014-01-11,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55063,3249,3249,3249,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55065,534,534,534,0,0,0,2014-01-01,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55067,419,419,419,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55069,842,842,842,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55071,2196,2196,2196,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55073,3708,3708,3708,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55075,916,916,916,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55077,382,382,382,0,0,0,2014-01-01,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55078,28,28,28,0,0,0,2014-01-04,2014-12-16,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55079,23205,23205,23205,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55081,1288,1288,1288,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55083,413,413,413,0,0,0,2014-01-01,2014-12-29,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55085,1108,1108,1108,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55087,4145,4145,4145,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55089,1647,1647,1647,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55091,147,147,147,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55093,561,561,561,0,0,0,2014-01-01,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55095,752,752,752,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55097,1593,1593,1593,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55099,193,193,193,0,0,0,2014-01-01,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55101,4832,4832,4832,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55103,478,478,478,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55105,4081,4081,4081,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55107,279,279,279,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55109,2239,2239,2239,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55111,1829,1829,1829,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55113,304,304,304,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55115,1389,1389,1389,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55117,2102,2102,2102,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55119,444,444,444,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55121,639,639,639,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55123,590,590,590,0,0,0,2014-01-04,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55125,555,555,555,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55127,1964,1964,1964,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55129,380,380,380,0,0,0,2014-01-04,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55131,3525,3525,3525,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55133,8225,8225,8225,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55135,1436,1436,1436,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55137,746,746,746,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55139,4096,4096,4096,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55141,1479,1479,1479,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55001,436,436,436,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55003,285,285,285,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55005,795,795,795,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55007,372,372,372,0,0,0,2015-01-01,2015-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55009,4093,4093,4093,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55011,231,231,231,0,0,0,2015-01-05,2015-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55013,241,241,241,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55015,866,866,866,0,0,0,2015-01-01,2015-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55017,1268,1268,1268,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55019,573,573,573,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55021,1598,1598,1598,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55023,382,382,382,0,0,0,2015-01-03,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55025,12275,12275,12275,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55027,1668,1668,1668,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55029,982,982,982,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55031,812,812,812,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2015,55033,945,945,945,0,0,0,2015-01-01,2015-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
