alert_id,msg_type
c854d5d2-cbf0-4d60-be24-c86888036c50,Alert
55a2f6f9-5e39-46db-a8e5-2e92496c6154,Cancel
28877f21-c2bd-457a-91aa-904ec7b7e6b4,Alert
c96fe941-eca8-40c5-9b9c-3b82eb4a815f,Cancel
210986b6-22d4-40e1-bc94-f0563941449c,Alert
2911143f-03bc-4b25-8da5-f4f98ecdfe93,Cancel
4aef568a-06a3-44f0-895a-2fb1c24925b1,Cancel
b2828c7a-e512-4aa2-b114-353a02f6381c,Alert
0c142520-abe0-497a-9b35-b5cf0d5d23dc,Alert
c3ae0a00-e357-4e19-bde9-1536deba1cd4,Alert
206e9094-4824-4573-a55a-f805d4c5f081,Cancel
e98ea81b-8a7f-4b3f-a6b8-7f8f747387a1,Alert
72b478f6-1d47-4ae8-aa00-1fdc6817ef0d,Alert
a3c3eb46-7fb1-4f5d-aa67-a2b76b5d9b5d,Alert
126710c8-699a-4ed1-b53a-dc7cc2b0ba7a,Cancel
f76e0f6c-093e-400a-92b8-a0c8c278ea0f,Alert
f037a0ac-f9e6-4805-81f5-89f10525f70d,Cancel
e226afcc-cb87-4616-b8f7-c351598cc735,Alert
b45c81d6-c234-41ab-a9c7-6a75ba8c77bd,Cancel
909ca9e1-5771-4d7d-9bbe-a0a8c4b242ed,Cancel
c4630aa8-0365-4944-90ad-2579c94bfeae,Alert
a59ad2a1-6701-4bf1-95d6-f2b459d28625,Alert
7b96369c-9d0c-4916-9528-555cef6190ec,Alert
7d5a76c6-d961-4f9c-aa41-6a0769f4c8dd,Cancel
3221e5ae-afda-4256-816b-6699610fb2f6,Alert
b7db4e08-f611-4ce6-bfb3-528b94051705,Alert
