record_type,status,model,sample,window,window_start_hour,window_end_hour,window_duration_hours,specification,outcome,term,beta,se,pvalue,n_obs,n_counties,n_anchor_days,fe,cluster
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,robust,person_fatals,cross_spillover,-0.0009722143546443043,0.0009197676400126879,0.2956852386803708,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,robust,person_fatals,cross_spillover_x_hours_since_wake,0.00039565456022924164,9.282317615144773e-05,9.166347570332967e-05,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,baseline,person_fatals,own_alert,-0.00012371251942718992,0.00020528030501201484,0.5495195228978473,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,baseline,person_fatals,own_alert_x_hours_since_wake,-1.9684640370236377e-05,3.3902814559197865e-05,0.5641577690149964,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,baseline,person_fatals,cross_spillover,-0.0003925592577272822,0.0006951515816622505,0.5748470936482513,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0002856915403010912,9.493442992315679e-05,0.004127555764639634,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,robust,person_fatals,own_alert,-0.00012075610639490267,0.00020626573095742257,0.560938941100805,2728279,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,robust,person_fatals,own_alert_x_hours_since_wake,-1.9691236983561137e-05,3.389472308558013e-05,0.5639349352096412,2728279,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,robust,person_fatals,cross_spillover,-0.0003910505860406058,0.0006907642000684115,0.5739006832321263,2728279,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-01:00 (+1 day),5,1,20,robust,person_fatals,cross_spillover_x_hours_since_wake,0.0002856321231078364,9.504062270542639e-05,0.004173408928199951,2728279,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
