check,dropped,outcome,coef,se,pval,nobs,n_alert_hours,coef_shift_from_baseline
"drop top-3 states ['48', '13', '37'] (jointly)",48+13+37,nonhighway_fatals,0.00018479304937927591,0.00029345127577177685,0.5319252615693597,448075,50069,-0.000160784764388072
drop county 48201 (0.26% of alert-hours),48201,highway_fatals,-0.0001566152531776515,3.0196424381218284e-05,3.890845456933079e-06,945969,106344,1.7994416646617886e-05
drop county 48201 (0.26% of alert-hours),48201,nonhighway_fatals,0.0003041302312476689,0.00017629278509305728,0.09067854639103712,945969,106344,-4.144758251967899e-05
drop county 48157 (0.26% of alert-hours),48157,highway_fatals,-0.00017506042432877372,3.499556591936698e-05,7.372867492083657e-06,945969,106344,-4.507545045043227e-07
drop county 48157 (0.26% of alert-hours),48157,nonhighway_fatals,0.0003381042234129019,0.0001910842263102845,0.08292585474342173,945969,106344,-7.473590354446021e-06
drop county 48015 (0.26% of alert-hours),48015,highway_fatals,-0.00017506218109556012,3.499554763484638e-05,7.371522681154374e-06,945978,106344,-4.5251127129072736e-07
drop county 48015 (0.26% of alert-hours),48015,nonhighway_fatals,0.0003470900652884209,0.0001949662133540821,0.08111056837117814,945978,106344,1.5122515210730207e-06
drop county 48089 (0.26% of alert-hours),48089,highway_fatals,-0.000174255736312978,3.470082288628692e-05,6.897168491004635e-06,945978,106344,3.5393351129140837e-07
drop county 48089 (0.26% of alert-hours),48089,nonhighway_fatals,0.00034787373984814565,0.00019528356199635305,0.08092524148090607,945978,106344,2.295926080797745e-06
drop county 48473 (0.26% of alert-hours),48473,highway_fatals,-0.00017505646724221905,3.499388322119983e-05,7.369622291530931e-06,945978,106345,-4.467974179496535e-07
drop county 48473 (0.26% of alert-hours),48473,nonhighway_fatals,0.00035016485003480966,0.00019629579566662444,0.08051518039275418,945978,106345,4.58703626746176e-06
drop county 48321 (0.26% of alert-hours),48321,highway_fatals,-0.00017505646724221908,3.499388322119972e-05,7.369622291530931e-06,945978,106345,-4.467974179496806e-07
drop county 48321 (0.26% of alert-hours),48321,nonhighway_fatals,0.00034013927115677454,0.00019186285316257086,0.08234946387374786,945978,106345,-5.43854261057336e-06
drop county 48481 (0.26% of alert-hours),48481,highway_fatals,-0.00017505646724221872,3.499388322119977e-05,7.369622291530931e-06,945978,106345,-4.467974179493282e-07
drop county 48481 (0.26% of alert-hours),48481,nonhighway_fatals,0.0003552919782918384,0.00019819115820969083,0.07907581277315434,945978,106345,9.714164524490517e-06
drop county 48039 (0.26% of alert-hours),48039,highway_fatals,-0.0001750596694103372,3.499507559493875e-05,7.3716320689865e-06,945987,106346,-4.499995860678032e-07
drop county 48039 (0.26% of alert-hours),48039,nonhighway_fatals,0.00033243390569694776,0.0001888495970875688,0.08447119043245954,945987,106346,-1.3143908070400144e-05
drop county 48291 (0.26% of alert-hours),48291,highway_fatals,-0.0001750587215687802,3.499528673640576e-05,7.373090304296781e-06,945987,106346,-4.4905174451079807e-07
drop county 48291 (0.26% of alert-hours),48291,nonhighway_fatals,0.0003508738669534629,0.00019649417317265774,0.08021811869267204,945987,106346,5.296053186114975e-06
drop county 48471 (0.26% of alert-hours),48471,highway_fatals,-0.0001719874274328617,3.3726751970575376e-05,5.26803596723191e-06,945987,106346,2.6222423914077026e-06
drop county 48471 (0.26% of alert-hours),48471,nonhighway_fatals,0.000348876729418452,0.00019567019056490733,0.08066009767838977,945987,106346,3.298915651104087e-06
