spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,pval_wild,inference,analysis_counties,excluded_no_self_loop_counties,exposure_spec
leave_state_out_20,fatal_crashes,cross_driver_distance,ok,0.00032242751327229833,0.00014077051919217747,0.026430467227575957,7212772,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_21,fatal_crashes,own_driver_distance,ok,3.0453783500496864e-05,0.0005974898272826495,0.9595613086572583,7085694,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_21,fatal_crashes,cross_driver_distance,ok,0.0003285563373253641,0.00014023560146695093,0.02332754733793111,7085694,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_22,fatal_crashes,own_driver_distance,ok,4.3841137994736104e-05,0.0005960591395363859,0.9416727948670769,7094458,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_22,fatal_crashes,cross_driver_distance,ok,0.00032851694969519477,0.00014244470321450424,0.02545715585240074,7094458,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_23,fatal_crashes,own_driver_distance,ok,0.00010640058976114085,0.0005915021871672044,0.8580024717764413,7256592,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_23,fatal_crashes,cross_driver_distance,ok,0.00032421585480360424,0.00013974070465730312,0.024632060686264,7256592,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_24,fatal_crashes,own_driver_distance,ok,8.872976660783885e-05,0.0005948595727611755,0.8820516446275578,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_24,fatal_crashes,cross_driver_distance,ok,0.00033074936095336873,0.0001421314919271406,0.02422752753465862,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_25,fatal_crashes,own_driver_distance,ok,8.157441448892304e-05,0.0005938929696808968,0.8913244230268558,7256592,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_25,fatal_crashes,cross_driver_distance,ok,0.00032212610534846064,0.0001383562076045781,0.02415984439014904,7256592,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_26,fatal_crashes,own_driver_distance,ok,5.164786266088091e-05,0.000604254558912878,0.9322403489160149,7107604,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_26,fatal_crashes,cross_driver_distance,ok,0.0003212092457695781,0.00013828068675360408,0.024470848225168807,7107604,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
