record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,direct_vs_clean,IL,PPML_raw_count,crashes,night_alert,-0.1330980108231331,0.0862317692375367,0.12271154585264932,296239.0,log_population_offset,county+date,,,0.32020767015821683,,,,0.8753792912592439,-12.462070874075614
estimate,ok,spillover_joint,IL,WLS_TWFE,fatals_per_100k,night_alert,-0.01367967112547116,0.04123769026703244,0.7407824927151716,298044.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,fatals_per_100k,spillover_share_10pp,-0.006088753815621971,0.0028476591878390813,0.034915859896617496,298044.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IL,PPML_raw_count,fatals,night_alert,0.39681575631138355,1.196224732453919,0.7400981164242306,278256.0,log_population_offset,county+date,,,0.9751110574277624,,,,1.4870819193516145,48.70819193516145
estimate,ok,spillover_joint,IL,PPML_raw_count,fatals,spillover_share_10pp,-0.733343283813574,0.4564168229604561,0.10811135847335462,278256.0,log_population_offset,county+date,,,0.9751110574277624,,,,0.4803005218451693,-51.969947815483074
estimate,ok,direct_vs_clean,IL,WLS_TWFE,fatals_per_100k,night_alert,0.03559292687931845,0.009815452571438068,0.0004527759341568238,296239.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,IL,PPML_raw_count,fatals,night_alert,9.007387939696153,0.13565458792804172,0.0,274218.0,log_population_offset,county+date,,,0.97552651744031,,,,8163.170708439223,816217.0708439223
estimate,ok,spillover_joint,IL,WLS_TWFE,serious_per_100k,night_alert,0.014935117493535975,0.062149677906774725,0.8105779197144676,298044.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,serious_per_100k,spillover_share_10pp,-0.02044386909090712,0.025946991277900823,0.4325951862406503,298044.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IL,PPML_raw_count,serious_inj,night_alert,0.2010021359673567,0.4179033010304932,0.6305324033576727,298044.0,log_population_offset,county+date,,,0.8814134825730429,,,,1.2226273833127181,22.262738331271812
estimate,ok,spillover_joint,IL,PPML_raw_count,serious_inj,spillover_share_10pp,-0.20102793573704622,0.2031324093202439,0.32235016395922744,298044.0,log_population_offset,county+date,,,0.8814134825730429,,,,0.8178895828863934,-18.211041711360664
