record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,ok,spillover_joint,NY,WLS_TWFE,crashes_per_100k,,,,,,,67890.0,67890.0,0.03857711003093239,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,NY,PPML_raw_count,crashes,,,,,,,67890.0,67890.0,0.03857711003093239,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,failed,direct_vs_clean,NY,WLS_TWFE,crashes_per_100k,,,,,,,67151.0,67151.0,0.038942085747047696,night_alert,,nonfinite_coefficient,,,,,,
fit_status,skipped,spillover_joint,NY,WLS_TWFE,fatals_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,NY,PPML_raw_count,fatals,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,NY,WLS_TWFE,fatals_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,NY,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,NY,PPML_raw_count,serious_inj,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,NY,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,ok,spillover_joint,OR,WLS_TWFE,crashes_per_100k,,,,,,,65736.0,65736.0,0.33964646464646464,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,OR,PPML_raw_count,crashes,,,,,,,65736.0,65736.0,0.33964646464646464,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,OR,WLS_TWFE,crashes_per_100k,,,,,,,65277.0,65277.0,0.3413453436892014,night_alert,night_alert,,,,,,,
